mutation_id,clone_id,alt_count,depth,vaf
1X0,0,43,116,0.37069
1X1,0,43,101,0.425743
1X2,0,21,88,0.238636
1X3,0,32,92,0.347826
1X4,0,28,85,0.329412
1X5,0,39,95,0.410526
1X6,0,40,102,0.392157
1X7,0,30,95,0.315789
3X0,1,10,105,0.0952381
3X1,1,7,101,0.0693069
3X2,1,11,113,0.0973451
3X3,1,7,105,0.0666667
3X4,1,7,85,0.0823529
3X6,1,9,79,0.113924
3X7,1,10,97,0.103093
3X8,1,6,108,0.0555556
3X9,1,11,95,0.115789
9X0,1,11,121,0.0909091
9X1,1,7,107,0.0654206
9X4,1,9,111,0.0810811
9X5,1,5,103,0.0485437
9X6,1,9,96,0.09375
15X3,1,6,94,0.0638298
15X5,1,5,91,0.0549451
1cX2,1,5,97,0.0515464
d7X2,1,5,107,0.046729
d7X5,1,5,105,0.047619
aX0,1,6,90,0.0666667
aX4,1,5,99,0.0505051
aX5,1,5,91,0.0549451
aX7,1,8,93,0.0860215
aX9,1,5,104,0.0480769
13X1,1,5,100,0.05
13X4,1,5,105,0.047619
13X5,1,6,98,0.0612245
13X6,1,8,109,0.0733945
4X0,0,32,103,0.31068
4X1,0,32,100,0.32
4X2,0,28,96,0.291667
4X3,0,21,98,0.214286
4X4,0,31,100,0.31
4X5,0,22,107,0.205607
4X6,0,33,105,0.314286
4X7,0,31,105,0.295238
4X8,0,33,109,0.302752
4X9,0,32,104,0.307692
4Xa,0,26,111,0.234234
4Xb,0,30,110,0.272727
4Xc,0,34,113,0.300885
4Xd,0,29,100,0.29
4Xe,0,31,108,0.287037
5X0,0,19,126,0.150794
5X1,0,8,100,0.08
5X2,0,13,107,0.121495
5X3,0,13,114,0.114035
5X4,0,11,83,0.13253
5X5,0,13,110,0.118182
dX0,0,9,98,0.0918367
dX1,0,15,99,0.151515
dX2,0,5,89,0.0561798
dX3,0,13,98,0.132653
dX4,0,13,92,0.141304
dX5,0,8,106,0.0754717
dX6,0,11,87,0.126437
dX7,0,12,99,0.121212
dX8,0,14,113,0.123894
dX9,0,8,96,0.0833333
dXa,0,7,85,0.0823529
dXb,0,10,87,0.114943
dXc,0,17,102,0.166667
12X0,0,8,97,0.0824742
12X1,0,12,102,0.117647
12X2,0,11,90,0.122222
12X3,0,15,99,0.151515
12X4,0,9,87,0.103448
12X5,0,16,95,0.168421
12X6,0,11,98,0.112245
12X7,0,7,100,0.07
12X8,0,11,103,0.106796
12X9,0,8,92,0.0869565
27X0,0,9,99,0.0909091
27X1,0,8,108,0.0740741
27X3,0,9,104,0.0865385
27X4,0,12,108,0.111111
27X5,0,6,103,0.0582524
27X6,0,7,124,0.0564516
2cX0,0,5,81,0.0617284
2cX1,0,6,102,0.0588235
2cX2,0,7,112,0.0625
2cX3,0,10,109,0.0917431
2cX4,0,7,104,0.0673077
2cX5,0,5,95,0.0526316
2cX6,0,11,113,0.0973451
2cX7,0,6,75,0.08
2cX8,0,5,86,0.0581395
2cX9,0,13,122,0.106557
2cXa,0,5,101,0.049505
3bX0,0,8,95,0.0842105
3bX3,0,7,94,0.0744681
3bX4,0,6,84,0.0714286
3bX5,0,7,118,0.059322
3dX0,0,6,104,0.0576923
3dX1,0,5,105,0.047619
3dX2,0,5,97,0.0515464
3dX3,0,6,100,0.06
3dX4,0,6,108,0.0555556
3dX5,0,7,95,0.0736842
3dX6,0,6,101,0.0594059
5cX0,1,9,120,0.075
5cX4,1,12,106,0.113208
5cX9,1,5,114,0.0438596
5cXb,1,6,102,0.0588235
66X5,1,5,107,0.046729
6eX6,1,6,105,0.0571429
4eX1,1,5,84,0.0595238
97X8,1,5,119,0.0420168
6X0,1,15,110,0.136364
6X1,1,19,104,0.182692
6X2,1,16,90,0.177778
6X3,1,18,113,0.159292
6X4,1,12,94,0.12766
fX0,1,13,104,0.125
fX1,1,6,111,0.0540541
fX2,1,6,85,0.0705882
19X0,1,5,115,0.0434783
19X1,1,7,105,0.0666667
19X5,1,6,115,0.0521739
19X6,1,8,112,0.0714286
29X5,1,5,110,0.0454545
2aX0,1,5,101,0.049505
2aX4,1,5,110,0.0454545
78X9,1,6,94,0.0638298
87X1,1,5,104,0.0480769
1aX0,1,7,117,0.0598291
1aX1,1,5,119,0.0420168
1aX5,1,6,104,0.0576923
1aX7,1,8,119,0.0672269
1aXb,1,5,93,0.0537634
2dX0,1,7,98,0.0714286
2dX1,1,6,79,0.0759494
2dX3,1,5,107,0.046729
2dX7,1,5,110,0.0454545
34X6,1,7,99,0.0707071
34X8,1,6,109,0.0550459
34Xb,1,7,99,0.0707071
5eX0,1,5,95,0.0526316
10X0,1,7,130,0.0538462
10X1,1,6,115,0.0521739
10X2,1,6,97,0.0618557
10X5,1,8,91,0.0879121
10X6,1,5,111,0.045045
10X8,1,8,92,0.0869565
10X9,1,6,94,0.0638298
10Xa,1,8,121,0.0661157
17X3,1,7,102,0.0686275
22X9,1,5,81,0.0617284
63X0,1,5,95,0.0526316
2X0,1,17,99,0.171717
2X1,1,17,96,0.177083
2X2,1,12,100,0.12
2X3,1,15,97,0.154639
2X4,1,8,76,0.105263
2X5,1,14,94,0.148936
2X6,1,12,93,0.129032
2X7,1,12,88,0.136364
2X8,1,17,102,0.166667
2X9,1,16,114,0.140351
2Xa,1,18,110,0.163636
2Xb,1,15,88,0.170455
2Xc,1,18,108,0.166667
2Xd,1,20,104,0.192308
2Xe,1,10,81,0.123457
2Xf,1,17,105,0.161905
8X0,1,18,94,0.191489
8X1,1,9,95,0.0947368
8X2,1,17,101,0.168317
8X3,1,16,90,0.177778
8X4,1,11,93,0.11828
8X5,1,9,108,0.0833333
8X6,1,11,119,0.092437
