mutation_id,clone_id,alt_count,depth,vaf
1X0,1,37,97,0.381443
1X1,1,28,99,0.282828
1X2,1,29,106,0.273585
1X3,1,33,113,0.292035
1X4,1,20,90,0.222222
1X5,1,36,105,0.342857
1X6,1,28,102,0.27451
1X7,1,34,105,0.32381
1X8,1,27,88,0.306818
1X9,1,32,97,0.329897
1Xa,1,31,100,0.31
1Xb,1,34,116,0.293103
1Xc,1,36,104,0.346154
7X0,1,18,111,0.162162
7X1,1,20,96,0.208333
7X2,1,22,94,0.234043
7X3,1,12,103,0.116505
7X4,1,21,127,0.165354
7X5,1,20,103,0.194175
7X6,1,21,112,0.1875
7X7,1,27,117,0.230769
7X8,1,20,100,0.2
7X9,1,17,98,0.173469
9X0,1,7,93,0.0752688
9X3,1,5,88,0.0568182
9X4,1,5,91,0.0549451
9X6,1,5,99,0.0505051
11X4,1,5,96,0.0520833
11X5,1,5,107,0.046729
aX0,1,22,100,0.22
aX1,1,15,109,0.137615
aX2,1,16,104,0.153846
aX3,1,12,85,0.141176
aX4,1,19,93,0.204301
dX1,1,10,107,0.0934579
dX2,1,5,108,0.0462963
dX4,1,9,119,0.0756303
dX5,1,5,111,0.045045
dX8,1,8,105,0.0761905
dXa,1,6,101,0.0594059
dXb,1,6,103,0.0582524
dXc,1,6,98,0.0612245
20X0,1,7,103,0.0679612
20X3,1,6,91,0.0659341
2dX0,1,6,99,0.0606061
2dX1,1,6,98,0.0612245
4aX6,1,5,116,0.0431034
eX0,1,9,107,0.0841121
eX1,1,11,118,0.0932203
eX2,1,6,88,0.0681818
eX3,1,9,92,0.0978261
eX4,1,14,99,0.141414
eX5,1,9,91,0.0989011
eX6,1,12,100,0.12
17X0,1,7,111,0.0630631
17X3,1,5,104,0.0480769
17X4,1,6,88,0.0681818
17X8,1,5,94,0.0531915
17X9,1,6,94,0.0638298
17Xa,1,6,98,0.0612245
23X1,1,7,120,0.0583333
2aX5,1,6,111,0.0540541
2aX8,1,6,102,0.0588235
36X1,1,5,108,0.0462963
18X0,1,7,114,0.0614035
18X1,1,11,79,0.139241
