mutation_id,clone_id,alt_count,depth,vaf
1X0,1,41,107,0.383178
1X1,1,39,107,0.364486
1X2,1,33,113,0.292035
1X3,1,30,103,0.291262
1X4,1,38,119,0.319328
1X5,1,39,91,0.428571
1X6,1,23,85,0.270588
1X7,1,33,96,0.34375
1X8,1,31,98,0.316327
1X9,1,36,107,0.336449
1Xa,1,25,81,0.308642
1Xb,1,26,94,0.276596
1Xc,1,41,103,0.398058
1Xd,1,34,86,0.395349
3X0,1,25,111,0.225225
3X1,1,24,96,0.25
3X2,1,16,120,0.133333
3X3,1,20,122,0.163934
3X4,1,17,105,0.161905
3X5,1,14,105,0.133333
3X6,1,15,94,0.159574
3X7,1,21,95,0.221053
3X8,1,13,93,0.139785
3X9,1,13,101,0.128713
3Xa,1,14,90,0.155556
6X0,1,14,100,0.14
6X1,1,15,80,0.1875
6X2,1,15,108,0.138889
6X3,1,15,97,0.154639
6X4,1,9,95,0.0947368
6X5,1,15,104,0.144231
6X6,1,17,98,0.173469
6X7,1,8,94,0.0851064
6X8,1,10,87,0.114943
6X9,1,17,115,0.147826
6Xa,1,14,104,0.134615
6Xb,1,16,115,0.13913
15X1,1,5,110,0.0454545
15X2,1,11,108,0.101852
15X4,1,5,111,0.045045
15X5,1,9,104,0.0865385
15X7,1,12,96,0.125
15X8,1,7,106,0.0660377
15X9,1,11,108,0.101852
15Xa,1,6,95,0.0631579
15Xb,1,8,119,0.0672269
15Xc,1,6,101,0.0594059
15Xd,1,6,98,0.0612245
15Xe,1,6,102,0.0588235
15Xf,1,7,97,0.0721649
15X10,1,7,91,0.0769231
15X11,1,7,103,0.0679612
25X3,1,9,98,0.0918367
25X4,1,5,94,0.0531915
25X5,1,5,103,0.0485437
25X7,1,6,106,0.0566038
51X3,1,7,94,0.0744681
51X5,1,5,106,0.0471698
f8X6,1,5,103,0.0485437
16X0,1,6,111,0.0540541
16X1,1,12,116,0.103448
16X2,1,14,105,0.133333
16X3,1,14,94,0.148936
16X4,1,7,111,0.0630631
16X5,1,9,93,0.0967742
16X6,1,13,77,0.168831
16X7,1,7,96,0.0729167
16X8,1,6,100,0.06
16X9,1,6,86,0.0697674
16Xa,1,7,115,0.0608696
16Xb,1,7,95,0.0736842
16Xc,1,7,108,0.0648148
16Xd,1,8,108,0.0740741
16Xe,1,7,106,0.0660377
16Xf,1,5,97,0.0515464
16X10,1,11,114,0.0964912
2fX0,1,5,104,0.0480769
2fX4,1,8,104,0.0769231
2fX6,1,6,103,0.0582524
2fX7,1,5,108,0.0462963
3dX1,1,5,100,0.05
3dX5,1,6,92,0.0652174
3dXb,1,5,91,0.0549451
65Xa,1,5,98,0.0510204
30X8,1,5,97,0.0515464
3aX7,1,5,102,0.0490196
3aX8,1,6,108,0.0555556
56X0,1,6,104,0.0576923
4X0,1,16,84,0.190476
4X1,1,22,96,0.229167
4X2,1,23,100,0.23
4X3,1,20,103,0.194175
4X4,1,17,90,0.188889
4X5,1,16,97,0.164948
4X6,1,16,107,0.149533
4X7,1,15,105,0.142857
4X8,1,20,90,0.222222
4X9,1,11,100,0.11
4Xa,1,9,94,0.0957447
4Xb,1,23,103,0.223301
4Xc,1,14,110,0.127273
4Xd,1,17,95,0.178947
4Xe,1,24,115,0.208696
9X0,1,14,109,0.12844
9X1,1,7,97,0.0721649
9X2,1,16,97,0.164948
9X3,1,12,108,0.111111
9X4,1,11,90,0.122222
9X5,1,14,108,0.12963
9X6,1,17,103,0.165049
9X7,1,8,108,0.0740741
