mutation_id,clone_id,alt_count,depth,vaf
1X0,0,45,107,0.420561
1X1,0,47,100,0.47
1X2,0,44,91,0.483516
1X3,0,51,102,0.5
1X4,0,49,110,0.445455
1X5,0,46,100,0.46
1X6,0,42,96,0.4375
1X7,0,49,102,0.480392
4X0,0,34,92,0.369565
4X1,0,47,102,0.460784
4X2,0,46,105,0.438095
4X3,0,42,119,0.352941
4X4,0,53,113,0.469027
4X5,0,44,104,0.423077
4X6,0,30,78,0.384615
4X7,0,41,91,0.450549
4X8,0,41,102,0.401961
5X0,0,43,96,0.447917
5X1,0,33,94,0.351064
5X2,0,30,94,0.319149
5X3,0,35,93,0.376344
5X4,0,43,104,0.413462
5X5,0,43,110,0.390909
5X6,0,42,86,0.488372
5X7,0,51,116,0.439655
5X8,0,37,106,0.349057
5X9,0,37,93,0.397849
5Xa,0,36,98,0.367347
5Xb,0,39,106,0.367925
11X0,0,38,91,0.417582
11X1,0,51,109,0.46789
11X2,0,46,104,0.442308
11X3,0,47,113,0.415929
19X0,0,39,101,0.386139
19X1,0,35,93,0.376344
19X2,0,48,104,0.461538
19X3,0,43,99,0.434343
19X4,0,41,97,0.42268
19X5,0,42,92,0.456522
19X6,0,41,99,0.414141
19X7,0,43,106,0.40566
19X8,0,27,89,0.303371
19X9,0,36,91,0.395604
19Xa,0,30,84,0.357143
19Xb,0,40,103,0.38835
19Xc,0,37,99,0.373737
19Xd,0,51,103,0.495146
19Xe,0,44,105,0.419048
19Xf,0,53,102,0.519608
3eX0,0,41,94,0.43617
3eX1,0,52,109,0.477064
3eX2,0,36,90,0.4
3eX3,0,39,91,0.428571
3eX4,0,31,104,0.298077
3eX5,0,28,83,0.337349
3eX6,0,38,84,0.452381
d7X0,0,39,96,0.40625
d7X1,0,33,86,0.383721
d7X2,0,43,102,0.421569
d7X3,0,38,88,0.431818
d7X4,0,50,111,0.45045
d7X5,0,47,120,0.391667
d7X6,0,37,81,0.45679
d7X7,0,34,101,0.336634
fbX0,0,38,96,0.395833
fbX1,0,43,102,0.421569
fbX2,0,41,115,0.356522
fbX3,0,34,106,0.320755
fbX4,0,49,113,0.433628
fbX5,0,45,99,0.454545
123X0,0,41,99,0.414141
123X1,0,30,96,0.3125
123X2,0,39,102,0.382353
123X3,0,43,107,0.401869
123X4,0,31,96,0.322917
123X5,0,42,95,0.442105
123X6,0,41,90,0.455556
123X7,0,34,110,0.309091
123X8,0,39,105,0.371429
123X9,0,33,95,0.347368
123Xa,0,42,116,0.362069
123Xb,0,35,90,0.388889
123Xc,0,43,101,0.425743
123Xd,0,43,112,0.383929
123Xe,0,36,101,0.356436
123Xf,0,32,96,0.333333
12cX0,0,41,95,0.431579
12cX1,0,43,104,0.413462
12cX2,0,38,99,0.383838
12cX3,0,39,95,0.410526
12cX4,0,41,91,0.450549
12cX5,0,40,108,0.37037
12cX6,0,39,100,0.39
12cX7,0,42,91,0.461538
12cX8,0,38,96,0.395833
143X0,0,36,94,0.382979
143X1,0,46,106,0.433962
143X2,0,36,95,0.378947
143X3,0,37,93,0.397849
143X4,0,38,105,0.361905
143X5,0,47,116,0.405172
143X6,0,32,83,0.385542
143X7,0,32,83,0.385542
143X8,0,43,101,0.425743
372X0,0,43,98,0.438776
372X1,0,30,97,0.309278
372X2,0,44,91,0.483516
372X3,0,41,101,0.405941
372X4,0,37,97,0.381443
372X5,0,32,92,0.347826
372X6,0,43,86,0.5
372X7,0,31,99,0.313131
372X8,0,48,104,0.461538
392X0,0,33,100,0.33
392X1,0,39,105,0.371429
392X2,0,45,110,0.409091
392X3,0,50,93,0.537634
392X4,0,51,107,0.476636
392X5,0,42,100,0.42
392X6,0,32,81,0.395062
392X7,0,32,87,0.367816
392X8,0,39,102,0.382353
392X9,0,31,85,0.364706
6b4X0,0,37,86,0.430233
6b4X1,0,45,102,0.441176
6b4X2,0,37,99,0.373737
6dfX0,0,43,123,0.349593
6dfX1,0,41,120,0.341667
6dfX2,0,47,119,0.394958
6dfX3,0,43,105,0.409524
6dfX4,0,38,108,0.351852
6dfX5,0,39,101,0.386139
6dfX6,0,39,91,0.428571
782X0,2,39,97,0.402062
782X1,2,38,110,0.345455
782X2,2,36,99,0.363636
782X3,2,36,102,0.352941
782X4,2,46,103,0.446602
782X5,2,39,103,0.378641
782X6,2,32,92,0.347826
782X7,2,37,83,0.445783
782X8,2,34,95,0.357895
782X9,2,35,96,0.364583
782Xa,2,35,98,0.357143
782Xb,2,53,118,0.449153
782Xc,2,46,98,0.469388
782Xd,2,40,106,0.377358
782Xe,2,29,91,0.318681
782Xf,2,41,110,0.372727
782X10,2,39,100,0.39
782X11,2,33,98,0.336735
782X12,2,47,117,0.401709
782X13,2,32,89,0.359551
ba1X0,2,20,96,0.208333
ba1X1,2,23,87,0.264368
ba1X2,2,26,95,0.273684
ba1X3,2,24,89,0.269663
ba1X4,2,23,97,0.237113
ba1X5,2,27,99,0.272727
ba1X6,2,23,86,0.267442
ba1X7,2,29,117,0.247863
ba1X8,2,24,120,0.2
ba1X9,2,36,102,0.352941
fcbX1,2,12,96,0.125
fcbX2,2,13,95,0.136842
fcbX3,2,15,98,0.153061
fcbX4,2,7,101,0.0693069
fcbX5,2,7,85,0.0823529
fcbX6,2,11,126,0.0873016
fcbX7,2,10,112,0.0892857
fcbX8,2,12,113,0.106195
1221X0,2,5,111,0.045045
1221X3,2,6,121,0.0495868
19a9X2,2,6,121,0.0495868
1222X0,2,5,86,0.0581395
1222X4,2,7,107,0.0654206
18d8X0,2,5,91,0.0549451
18d8X2,2,5,97,0.0515464
18d8X5,2,7,109,0.0642202
1913X4,2,5,107,0.046729
1d74X5,2,5,103,0.0485437
1d74X7,2,5,92,0.0543478
1d74X8,2,6,110,0.0545455
