clone,alt,depth,id
1,29,101,f04d0aaX0
1,34,122,f04d0aaX1
1,32,113,f04d0aaX2
1,30,99,f04d0aaX3
1,35,129,f04d0aaX4
1,32,94,f04d0aaX5
1,35,106,f04d0aaX6
1,32,113,f04d0aaX7
1,40,123,f04d0aaX8
1,23,100,f04d0aaX9
1,33,93,f04d0aaXa
1,31,98,f04d0aaXb
1,43,111,f04d0aaXc
1,25,87,f04d0aaXd
1,27,99,f04d0adX0
1,27,111,f04d0adX1
1,27,84,f04d0adX2
1,25,91,f04d0adX3
1,30,104,f04d0adX4
1,38,114,f04d0adX5
1,42,110,f04d0adX6
1,35,109,f04d0adX7
1,28,99,f04d0adX8
1,22,100,f04d0b0X0
1,36,95,f04d0b0X1
1,34,110,f04d0b0X2
1,32,101,f04d0b0X3
1,33,100,f04d0b0X4
1,19,78,f04d0b0X5
1,23,90,f04d0b0X6
1,32,107,f04d0b0X7
1,29,101,f04d0b0X8
1,38,129,f04d0b0X9
1,33,114,f04d0b0Xa
1,28,107,f04d0c2X0
1,30,103,f04d0c2X1
1,25,104,f04d0c2X2
1,24,104,f04d0c2X3
1,14,77,f04d0c2X4
1,21,94,f04d0c2X5
1,28,97,f04d0c2X6
1,41,112,f04d0c2X7
1,38,112,f04d0c2X8
1,24,78,f04d0c2X9
1,28,104,f04d0c2Xa
1,34,118,f04d0e2X0
1,35,118,f04d0e2X1
1,24,93,f04d0e2X2
1,35,109,f04d0e2X3
1,20,112,f04d0e2X4
1,33,117,f04d0e2X5
1,29,94,f04d0e2X6
1,27,102,f04d0e2X7
1,32,113,f04d0e2X8
1,29,91,f04d0e2X9
1,24,99,f04d0e2Xa
1,25,105,f04d102X0
1,31,111,f04d102X1
1,30,115,f04d102X2
1,25,92,f04d102X3
1,28,99,f04d102X4
1,23,97,f04d102X5
1,32,115,f04d102X6
1,20,92,f04d102X7
1,22,107,f04d102X8
1,21,93,f04d102X9
1,26,107,f04d102Xa
1,29,94,f04d102Xb
1,23,97,f04d102Xc
1,19,109,f04d102Xd
1,23,108,f04d165X0
1,28,117,f04d165X1
1,32,109,f04d165X2
1,26,110,f04d165X3
1,20,80,f04d165X4
1,21,103,f04d165X5
1,33,99,f04d165X6
1,23,85,f04d165X7
1,20,95,f04d165X8
1,18,98,f04d165X9
1,20,98,f04d165Xa
1,22,90,f04d165Xb
1,21,90,f04d165Xc
1,28,101,f04d17eX0
1,25,104,f04d17eX1
1,30,110,f04d17eX2
1,24,86,f04d17eX3
1,20,100,f04d17eX4
1,24,93,f04d17eX5
1,34,104,f04d17eX6
1,17,97,f04d17eX7
1,20,92,f04d17eX8
1,25,113,f04d17eX9
1,28,93,f04d17eXa
1,29,91,f04d17eXb
1,26,112,f04d2c4X0
1,32,111,f04d2c4X1
1,32,108,f04d2c4X2
1,24,98,f04d2c4X3
1,25,91,f04d2c4X4
1,28,98,f04d2c4X5
1,31,110,f04d2c4X6
1,20,83,f04d2c4X7
1,30,122,f04d2c4X8
1,26,91,f04d2c4X9
1,27,100,f04d2c4Xa
1,33,106,f04d2c4Xb
1,16,114,f04d2c6X0
1,20,94,f04d2c6X1
1,16,97,f04d2c6X2
1,7,95,f04d2c6X3
1,9,101,f04d2c6X4
1,13,112,f04d2c6X5
