clone,alt,depth,id
0,46,84,46afaX0
0,56,106,46afaX1
0,52,104,46afaX2
0,50,92,46afaX3
0,50,98,46afaX4
0,62,93,46afaX5
0,53,104,46afaX6
0,53,105,46afaX7
0,47,105,46afaX8
0,45,82,46afaX9
0,43,107,46afcX0
0,38,80,46afcX1
0,50,110,46afcX2
0,40,94,46afcX3
0,52,94,46afcX4
0,52,100,46afcX5
0,48,96,46afcX6
0,48,105,46afcX7
0,44,94,46afcX8
0,56,101,46afcX9
0,49,92,46b02X0
0,52,102,46b02X1
0,46,100,46b02X2
0,52,103,46b02X3
0,51,102,46b02X4
0,51,104,46b02X5
0,51,105,46b02X6
0,55,115,46b04X0
0,49,91,46b04X1
0,57,108,46b04X2
0,47,91,46b04X3
0,54,89,46b04X4
0,50,105,46b04X5
0,45,96,46b04X6
0,50,94,46b04X7
0,42,83,46b04X8
0,47,110,46b04X9
0,45,101,46b04Xa
0,54,101,46b04Xb
0,56,110,46b04Xc
0,42,92,46b04Xd
0,58,123,46b04Xe
0,39,76,46b04Xf
0,45,95,46b15X0
0,51,102,46b15X1
0,62,120,46b15X2
0,48,93,46b15X3
0,39,96,46b15X4
0,51,102,46b15X5
0,44,83,46b15X6
0,45,90,46b15X7
0,54,104,46b15X8
0,57,97,46b15X9
0,54,109,46b1cX0
0,42,92,46b1cX1
0,63,118,46b1cX2
0,51,102,46b1cX3
0,48,87,46b1cX4
0,47,95,46b1cX5
0,50,98,46b1cX6
0,59,112,46b1cX7
0,49,95,46b1cX8
0,53,112,46b1cX9
0,45,97,46b1cXa
0,49,112,46b20X0
0,51,106,46b20X1
0,61,109,46b20X2
0,52,108,46b20X3
0,53,97,46b20X4
0,48,107,46b20X5
0,53,113,46b20X6
0,57,110,46b20X7
0,58,113,46b20X8
0,42,88,46b20X9
0,40,91,46b20Xa
0,50,93,46b41X0
0,43,77,46b41X1
0,47,106,46b41X2
0,54,108,46b41X3
0,60,114,46b41X4
0,49,97,46b41X5
0,45,94,46b41X6
0,40,97,46b41X7
0,44,93,46b41X8
0,55,121,46b41X9
0,48,93,46b41Xa
0,63,124,46b41Xb
0,51,117,46c3dX0
0,50,100,46c3dX1
0,52,102,46c3dX2
0,47,98,46c3dX3
0,57,91,46c3dX4
0,38,91,46c3dX5
0,47,93,46c3dX6
0,51,108,46f12X0
0,48,92,46f12X1
0,49,101,46f12X2
0,54,97,46f12X3
0,45,107,46f12X4
0,46,91,46f12X5
0,49,108,46f12X6
0,61,107,46f12X7
0,52,94,46f12X8
0,51,100,46f12X9
0,68,116,46f12Xa
0,42,90,46f12Xb
0,52,93,46f6cX0
0,52,89,46f6cX1
0,45,88,46f6cX2
0,39,98,46f6cX3
0,37,82,46f6cX4
0,53,111,46f6cX5
0,42,87,46f6cX6
0,66,112,46f6cX7
0,53,96,46f6cX8
0,53,107,46f6cX9
0,53,109,46f6cXa
0,36,80,46f6cXb
0,50,97,46f6cXc
0,46,97,46f6cXd
0,53,95,46f6cXe
0,49,96,46f8eX0
0,47,99,46f8eX1
0,42,94,46f8eX2
0,38,103,46f8eX3
0,60,117,46f8eX4
0,63,121,46f8eX5
0,45,85,46f8eX6
0,52,103,46f8eX7
0,56,100,46f8eX8
0,51,97,46f8eX9
0,54,106,47060X0
0,53,95,47060X1
0,40,104,47060X2
0,52,105,47060X3
0,57,111,47060X4
0,64,121,47060X5
0,43,104,47060X6
0,38,92,47060X7
0,39,91,47060X8
0,41,89,47060X9
0,50,100,47060Xa
0,45,90,47060Xb
0,47,105,47060Xc
0,49,104,4718fX0
0,46,90,4718fX1
0,49,97,4718fX2
0,51,101,4718fX3
0,43,82,4718fX4
0,50,105,4718fX5
0,47,112,4718fX6
0,44,88,4718fX7
0,56,106,4718fX8
0,54,99,4718fX9
0,57,100,47244X0
0,30,74,47244X1
0,47,98,47244X2
0,52,94,47244X3
0,49,99,47244X4
0,35,92,4743dX0
0,58,108,4743dX1
0,54,108,4743dX2
0,47,113,4743dX3
0,54,99,4743dX4
0,49,98,4743dX5
0,66,117,4743dX6
0,54,97,4743dX7
0,51,103,4743dX8
0,46,84,47704X0
0,54,107,47704X1
0,45,105,47704X2
0,45,96,47704X3
0,59,124,47704X4
0,63,112,47704X5
0,55,87,47704X6
0,62,112,47704X7
0,41,91,47704X8
0,43,101,47b76X0
0,65,118,47b76X1
0,69,118,47b76X2
0,53,100,47b76X3
0,37,81,47b76X4
0,36,80,47b76X5
0,45,86,47b76X6
0,55,107,47b76X7
0,52,90,47b76X8
0,52,100,47b76X9
0,53,97,47b76Xa
0,49,99,47b76Xb
0,53,100,47b76Xc
0,48,102,47b76Xd
0,38,101,47b76Xe
0,50,104,47b76Xf
0,47,113,47b76X10
0,47,105,47b76X11
0,50,97,48371X0
0,45,101,48371X1
0,51,106,48371X2
0,45,97,48371X3
0,59,127,48371X4
0,56,112,48371X5
0,49,96,48371X6
0,49,100,48371X7
0,46,95,48371X8
0,42,94,48371X9
2,46,93,48d09X0
2,43,92,48d09X1
2,63,120,48d09X2
2,65,137,48d09X3
2,47,89,48d09X4
2,53,102,48d09X5
2,43,95,48d09X6
2,46,106,48f5eX0
2,57,106,48f5eX1
2,44,99,48f5eX2
2,45,97,48f5eX3
2,50,107,48f5eX4
2,52,96,48f5eX5
2,56,112,48f5eX6
2,45,76,48f5eX7
2,50,102,48f5eX8
2,37,87,48f5eX9
2,52,103,48f5eXa
2,48,94,48fd9X0
2,51,100,48fd9X1
2,45,98,48fd9X2
2,52,109,48fd9X3
2,46,98,48fd9X4
2,43,95,48fd9X5
2,61,113,48fd9X6
2,53,107,48fd9X7
2,52,106,48fd9X8
2,38,93,48fd9X9
2,40,88,49abcX0
2,61,111,49abcX1
2,43,100,49abcX2
2,55,103,49abcX3
2,45,88,49abcX4
2,53,101,49abcX5
2,50,98,49abcX6
2,51,103,49abcX7
2,52,90,49e22X0
2,47,104,49e22X1
2,50,98,49e22X2
2,65,128,49e22X3
2,51,106,49e22X4
2,52,88,49e22X5
2,56,110,49e22X6
2,48,91,49e22X7
2,38,79,49e22X8
2,47,89,49e22X9
2,51,103,49e22Xa
2,48,92,49ec0X0
2,43,94,49ec0X1
2,48,104,49ec0X2
2,57,111,49ec0X3
2,49,97,49ec0X4
2,50,106,49ec0X5
2,63,113,49ec0X6
2,32,81,49ec0X7
2,53,105,49ec0X8
2,49,96,49ec0X9
2,45,102,49ec0Xa
2,41,101,4a651X0
2,62,108,4a651X1
2,50,96,4a651X2
2,49,100,4a651X3
2,50,95,4a651X4
2,61,105,4a651X5
2,55,108,4a651X6
2,48,100,4a651X7
2,56,105,4a651X8
2,56,112,4a651X9
2,44,100,4a651Xa
2,53,109,4b73bX0
2,37,83,4b73bX1
2,56,87,4b73bX2
2,67,119,4b73bX3
2,43,110,4b73bX4
2,60,106,4b73bX5
2,51,99,4b73bX6
2,49,98,4b73bX7
2,48,87,4b73bX8
2,38,85,4b73bX9
2,48,99,4b73bXa
2,47,98,4b73bXb
2,51,107,4b73bXc
2,46,88,4b73bXd
2,50,99,4d3aeX0
2,49,108,4d3aeX1
2,57,108,4d3aeX2
2,48,98,4d3aeX3
2,44,103,4d3aeX4
2,49,103,4d3aeX5
2,38,91,4d3aeX6
2,48,98,4d3aeX7
2,53,105,4d3aeX8
2,56,105,4d3aeX9
2,51,105,4d3aeXa
2,44,94,4d3aeXb
2,43,99,4d3aeXc
2,46,94,4d3aeXd
2,54,98,4d3aeXe
2,56,100,4d3aeXf
2,51,94,4d8feX0
2,45,91,4d8feX1
2,58,110,4d8feX2
2,33,79,4d8feX3
2,55,118,4d8feX4
2,41,81,4d8feX5
2,41,99,4d8feX6
2,44,93,4d8feX7
2,54,101,4d8feX8
2,45,97,4e44bX0
2,54,97,4e44bX1
2,62,111,4e44bX2
2,44,88,4e44bX3
2,50,110,4e44bX4
2,64,108,4e44bX5
2,46,99,4e44bX6
2,36,96,4ec8aX0
2,47,103,4ec8aX1
2,49,100,4ec8aX2
2,41,81,4ec8aX3
2,33,82,4ec8aX4
2,55,106,4ec8aX5
2,54,98,4ec8aX6
2,54,105,4ec8aX7
2,53,98,4ec8aX8
2,37,91,4ec8aX9
2,48,85,4ec8aXa
2,56,107,4ec8aXb
2,44,108,4ec8aXc
2,49,89,4ee9eX0
2,45,94,4ee9eX1
2,55,110,4ee9eX2
2,51,102,4ee9eX3
2,43,85,4ee9eX4
2,51,106,4ee9eX5
2,51,101,4ee9eX6
2,44,87,4ee9eX7
2,48,98,4ee9eX8
2,56,112,4ee9eX9
2,47,102,4fe97X0
2,50,105,4fe97X1
2,57,99,4fe97X2
2,49,111,4fe97X3
2,52,101,4fe97X4
2,46,96,4fe97X5
2,43,98,4fe97X6
2,48,88,4fe97X7
2,38,83,4fe97X8
2,43,83,4fe97X9
2,49,95,4fe97Xa
2,74,116,4fe97Xb
2,49,100,4fe97Xc
2,46,87,4fe97Xd
2,47,92,5091fX0
2,52,105,5091fX1
2,65,122,5091fX2
2,51,116,5091fX3
2,42,98,5091fX4
2,50,90,51e30X0
2,54,97,51e30X1
2,58,107,51e30X2
2,42,108,51e30X3
2,37,81,51e30X4
2,50,99,52129X0
2,59,109,52129X1
2,48,96,52129X2
2,48,102,52129X3
2,44,98,52129X4
2,54,104,52129X5
2,68,123,52129X6
2,53,92,52129X7
2,53,108,52129X8
