clone,alt,depth,id
0,62,121,acdab0X0
0,45,97,acdab0X1
0,58,108,acdab0X2
0,49,92,acdab0X3
0,53,92,acdab0X4
0,46,97,acdab0X5
0,48,96,acdab1X0
0,53,108,acdab1X1
0,46,102,acdab1X2
0,50,98,acdab1X3
0,49,92,acdab1X4
0,56,109,acdab9X0
0,42,91,acdab9X1
0,50,108,acdab9X2
0,54,101,acdab9X3
0,46,102,acdab9X4
0,34,83,acdab9X5
0,51,90,acdab9X6
0,43,87,acdab9X7
0,50,111,acdab9X8
0,38,80,acdab9X9
0,49,95,acdab9Xa
0,66,120,acdabdX0
0,55,102,acdabdX1
0,47,108,acdabdX2
0,59,110,acdabdX3
0,53,103,acdabdX4
0,52,110,acdabdX5
0,39,95,acdabdX6
0,60,110,acdabdX7
0,52,104,acdabdX8
0,46,96,acdabdX9
0,47,100,acdabdXa
0,38,98,acdabdXb
0,36,91,acdabdXc
0,47,106,acdac3X0
0,50,81,acdac3X1
0,51,91,acdac3X2
0,51,106,acdac3X3
0,53,92,acdac3X4
0,46,86,acdac3X5
0,51,99,acdac3X6
0,52,96,acdac3X7
0,44,81,acdac3X8
0,60,113,acdac3X9
0,55,107,acdac7X0
0,53,95,acdac7X1
0,49,104,acdac7X2
0,45,106,acdac7X3
0,52,107,acdac7X4
0,55,106,acdac7X5
0,50,101,acdac7X6
0,50,94,acdac7X7
0,51,103,acdac7X8
0,45,101,acdacaX0
0,59,107,acdacaX1
0,45,95,acdacaX2
0,37,82,acdacaX3
0,51,97,acdacaX4
0,46,89,acdacaX5
0,41,94,acdacaX6
0,39,78,acdacaX7
0,48,97,acdacaX8
0,46,102,acdaceX0
0,57,119,acdaceX1
0,50,109,acdaceX2
0,57,96,acdaceX3
0,49,104,acdaceX4
0,63,126,acdaceX5
0,47,93,acdaceX6
0,56,108,acdaceX7
0,39,92,acdad7X0
0,49,91,acdad7X1
0,36,79,acdad7X2
0,53,109,acdad7X3
0,57,108,acdad7X4
0,54,106,acdad7X5
0,61,117,acdad7X6
0,47,90,acdad7X7
0,40,93,acdad7X8
0,50,96,acdad7X9
0,46,92,acdadaX0
0,44,87,acdadaX1
0,51,100,acdadaX2
0,51,108,acdadaX3
0,42,96,acdadaX4
0,64,107,acdadaX5
0,49,95,acdadaX6
0,64,113,acdadaX7
0,44,85,acdadaX8
0,49,103,acdadaX9
0,49,101,acdadaXa
0,48,115,acdadaXb
0,49,98,acdadaXc
0,51,92,acdadaXd
0,60,118,acdae1X0
0,47,104,acdae1X1
0,47,93,acdae1X2
0,53,107,acdae1X3
0,49,107,acdae1X4
0,52,118,acdae1X5
0,44,88,acdae1X6
0,45,94,acdae1X7
0,41,93,acdae1X8
0,44,99,acdae1X9
0,44,99,acdae1Xa
0,47,105,acdae1Xb
0,46,103,acdae1Xc
0,38,90,acdaf2X0
0,43,99,acdaf2X1
0,44,90,acdaf2X2
0,44,94,acdaf2X3
0,39,87,acdaf2X4
0,62,118,acdaf2X5
0,40,103,acdaf5X0
0,53,96,acdaf5X1
0,42,105,acdaf5X2
0,50,104,acdaf5X3
0,52,114,acdaf5X4
0,53,113,acdaf5X5
0,49,101,acdaf5X6
0,57,115,acdaf5X7
0,48,110,acdaf5X8
0,43,98,acdaf5X9
0,42,100,acdb1aX0
0,42,93,acdb1aX1
0,35,81,acdb1aX2
0,34,91,acdb1aX3
0,48,110,acdb1aX4
0,36,81,acdb30X0
0,41,87,acdb30X1
0,46,103,acdb30X2
0,49,90,acdb30X3
0,38,108,acdb30X4
0,46,111,acdb30X5
0,38,99,acdb30X6
0,47,109,acdb30X7
0,52,96,acdb30X8
0,43,98,acdb32X0
0,44,109,acdb32X1
0,51,111,acdb32X2
0,46,109,acdb32X3
0,50,108,acdb32X4
0,49,91,acdb32X5
0,50,103,acdb32X6
0,51,113,acdb32X7
0,40,83,acdb32X8
0,41,103,acdb52X0
0,48,124,acdb52X1
0,52,110,acdb52X2
0,54,98,acdb52X3
0,47,97,acdb52X4
0,44,90,acdb52X5
0,47,104,acdb52X6
0,46,105,acdb52X7
0,51,117,acdb52X8
0,51,114,acdb52X9
0,62,119,acdb9fX0
0,34,83,acdb9fX1
0,35,96,acdb9fX2
0,41,93,acdb9fX3
0,58,115,acdb9fX4
0,61,118,acdb9fX5
0,51,104,acdb9fX6
0,34,92,acdb9fX7
0,37,100,acdb9fX8
0,44,96,acdb9fX9
0,49,101,acdb9fXa
0,54,106,acdb9fXb
0,43,98,acdbbcX0
0,46,109,acdbbcX1
0,36,99,acdbbcX2
0,44,104,acdbbcX3
0,51,107,acdbbcX4
0,51,102,acdbbcX5
0,40,94,acdbbcX6
0,46,106,acdbbcX7
0,39,100,acdbbcX8
0,33,87,acdbc0X0
0,44,88,acdbc0X1
0,50,100,acdbc0X2
0,49,99,acdbc0X3
0,39,82,acdbc0X4
0,42,104,acdbc0X5
0,48,91,acdbc0X6
0,36,86,acdbc0X7
0,31,67,acdbc0X8
0,49,100,acdbc0X9
0,49,90,acdbc0Xa
0,39,89,acdbc0Xb
0,58,117,acdbc0Xc
0,52,101,acdc19X0
0,46,102,acdc19X1
0,46,106,acdc19X2
0,51,112,acdc19X3
0,36,95,acdc19X4
0,47,98,acdc19X5
0,51,105,acdc19X6
0,53,124,acdc19X7
0,47,111,acdc19X8
0,28,84,acdc19X9
0,47,118,acdc19Xa
0,51,106,acdc19Xb
0,53,97,acdc19Xc
0,53,100,acdc19Xd
0,40,84,acdc4bX0
0,45,118,acdc4bX1
0,34,85,acdc4bX2
0,39,93,acdc4bX3
0,42,88,acdc4bX4
0,42,83,acdc4bX5
0,46,106,acdc4bX6
0,45,102,acdc4bX7
0,51,111,acdc4bX8
0,50,116,acdc77X0
0,42,96,acdc77X1
0,33,86,acdc77X2
0,39,107,acdc77X3
0,54,101,acdc77X4
0,46,99,acdc77X5
0,38,90,acdc77X6
0,47,111,acdc77X7
0,44,89,acdce9X0
0,36,89,acdce9X1
0,40,104,acdce9X2
0,42,101,acdce9X3
0,44,111,acdce9X4
0,36,102,acdce9X5
0,42,111,acdce9X6
0,50,101,acdce9X7
0,55,101,acdce9X8
0,34,95,acdce9X9
0,40,96,acdd33X0
0,37,94,acdd33X1
0,45,91,acdd33X2
0,38,116,acdd33X3
0,46,101,acdd33X4
0,42,102,acdd33X5
0,53,98,acdd33X6
0,44,104,acdd33X7
0,38,88,acdd33X8
0,40,96,acdde4X0
0,49,98,acdde4X1
0,46,112,acdde4X2
0,43,91,acdde4X3
0,42,96,acdde4X4
0,49,103,acdde4X5
0,50,105,acdde4X6
0,46,101,acdde4X7
0,40,92,acdde4X8
0,46,101,acde39X0
0,45,103,acde39X1
0,51,117,acde39X2
0,51,105,acde39X3
0,53,103,acde39X4
0,43,104,acde39X5
0,51,112,acde39X6
1,8,95,acde97X1
1,6,98,acde97X3
1,10,99,acde97X4
1,7,100,acde97X5
1,11,118,acde97X6
1,10,71,acde97X8
1,5,84,acde97X9
1,8,112,acde97Xa
1,7,115,acdeebX0
1,6,102,acdeebX3
1,5,85,acdeebX4
1,9,108,acdeebX5
1,6,102,acdeebX6
