clone,alt,depth,id
1,59,113,84e6661X0
1,45,99,84e6661X1
1,45,89,84e6661X2
1,45,93,84e6661X3
1,50,116,84e6661X4
1,37,104,84e6665X0
1,38,83,84e6665X1
1,53,98,84e6665X2
1,42,108,84e6665X3
1,38,103,84e6665X4
1,54,120,84e6665X5
1,46,106,84e6665X6
1,51,104,84e6665X7
1,38,91,84e6665X8
1,38,88,84e6665X9
1,40,91,84e6665Xa
1,33,96,84e6665Xb
1,41,101,84e6667X0
1,33,95,84e6667X1
1,36,95,84e6667X2
1,40,95,84e6667X3
1,33,105,84e6667X4
1,26,82,84e6667X5
1,26,77,84e6667X6
1,40,99,84e6667X7
1,45,110,84e6667X8
1,29,89,84e6667X9
1,34,109,84e666bX0
1,27,88,84e666bX1
1,36,98,84e666bX2
1,29,99,84e666bX3
1,28,78,84e666bX4
1,25,76,84e666bX5
1,43,100,84e666bX6
1,36,86,84e666bX7
1,34,89,84e666bX8
1,38,99,84e666bX9
1,42,106,84e666bXa
1,42,87,84e666bXb
1,38,118,84e666bXc
1,29,77,84e666bXd
1,30,98,84e666bXe
1,12,101,84e666dX1
1,9,96,84e666dX3
1,8,103,84e666dX4
1,6,100,84e666dX5
1,17,103,84e666dX6
1,8,99,84e666dX8
1,9,93,84e666dX9
1,9,110,84e666dXa
1,12,88,84e6670X0
1,9,101,84e6670X1
1,6,85,84e6670X2
1,14,130,84e6670X3
1,8,104,84e6670X4
1,5,86,84e6673X1
1,7,96,84e6686X2
1,5,77,84e6686X3
1,7,111,84e6686X4
1,9,96,84e6686X5
1,8,99,84e6686X7
1,6,103,84e6686X8
1,5,93,84e6686Xb
1,6,92,84e6686Xc
1,10,108,84e670eX2
1,7,113,84e670eX3
1,9,94,84e670eX4
1,6,92,84e670eX5
1,5,90,84e67f2X1
1,7,109,84e67f2X3
1,5,110,84e67f2X4
1,8,100,84e67f2X5
1,9,100,84e67f2X6
1,6,111,84e67f2X8
1,5,90,84e67f2X9
1,5,99,84e67f2Xa
1,8,89,84e683aX1
1,5,102,84e683aX3
1,6,105,84e683aX4
1,5,103,84e683aX6
1,9,115,84e6aabX2
1,10,109,84e6aabX4
1,5,91,84e6ce3X1
1,5,101,84e6ce3X2
1,6,86,84e6ce3X3
1,5,101,84e6dc8X0
1,7,96,84e6dc8X1
1,5,110,84e6dc8X2
1,10,107,84e6dc8X3
1,6,91,84e6dc8X7
1,9,108,84e6e3fX1
1,6,105,84e6e3fX4
1,9,79,84e6e3fX5
1,5,85,84e7069X1
1,6,104,84e7069X2
1,5,117,84e7069X3
1,5,108,84e7069X4
1,10,108,84e7069X6
1,7,99,84e719bX2
1,5,103,84e719bX4
1,6,105,84e719bX6
1,8,107,84e729fX3
1,7,95,84e729fX5
1,11,98,84e729fX7
1,5,91,84e729fX8
1,6,96,84e7802X0
1,9,116,84e7802X1
1,8,96,84e7802X2
1,11,112,84e7802X4
1,6,95,84e7802X5
1,7,109,84e7802X6
1,7,108,84e7802X9
1,6,92,84e7feeX1
1,7,107,84e7feeX2
1,5,110,84e7feeX3
1,7,94,84e7feeX5
1,5,106,84e7feeX7
1,6,105,84e7feeX9
1,6,89,84e7feeXa
1,6,96,84e7feeXb
1,6,91,84e7feeXc
1,6,95,84e831aX1
1,6,97,84e831aX4
1,7,104,84e94ddX3
1,7,104,84e95d0X1
1,5,106,84e95d0X2
1,7,114,84e95d0X3
1,5,102,84e95d0X5
1,5,98,84e95d0X6
1,9,128,84e95d0X8
1,5,93,84e95d0X9
1,6,96,84e95d0Xb
1,7,94,84e95d0Xc
1,6,106,84e95d0Xd
1,6,93,84e996cX1
1,7,129,84e996cX2
1,8,114,84e996cX3
1,7,105,84e996cX6
1,6,126,84ea7e2X7
1,7,109,84ea7e2X9
1,6,104,84eae4eX5
1,5,122,84eaf1eX1
1,5,103,84eaf1eX3
1,5,100,84eaf1eX9
1,6,89,84ee4dcX1
